Client,Date,Title,Category,Hours,CategoryCap,DailyTotal,Flags,Reasons,Why_Flagged,Title_Must_Include,Good_Title_At_Cap,Good_Title_To_Justify_Your_Hours
ORX,2026-01-28,TRYING TO OBTAIN VOICEMAIL FROM PHONE,Routine: Phone / Voice / Teams,2.5,1.5,4.23,H1,routine > 1.5h cap (Phone / Voice / Teams),Your 2.50h is well above the 1.5h normal — title MUST justify the extra time.,"platform (RingCentral / Teams / 3CX), action (extension move, DID provision, license)","RingCentral extension move for new hire, voicemail verified","RingCentral migration for 3 users — re-provisioned extensions, ported DIDs, configured call queue, end-user training session (~3h)"
BST,2026-02-22,"Device Non-Compliant Due to Missing Patches- BST-HQ-AD-01, BST-HQ-AD-02, BST-HQ-FS-01, BST-HQ-FS-02, BST-HQ-VBR-01.",Routine: Patch management / Windows Update,2.25,1.5,2.25,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.25h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ANI,2026-03-08,"Device Non-Compliant Due to Missing Patches-  ANI-HQ-OPSPRB-01, ANI-HQ-VBR-02, ANI-HQ-VONE, VMANIDC02, VMANIFS-01, VMANIFS-02.",Routine: Patch management / Windows Update,2.25,1.5,3.5,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.25h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
VAF,2026-03-11,"Device Non-Compliant Due to Missing Patches- VAF-DC-3CX-01, VAF-DC-AD-01, VAF-DC-FS-01, VAF-DC-FS-02.",Routine: Patch management / Windows Update,2.25,1.5,2.25,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.25h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
VAF,2026-03-12,"Device Non-Compliant Due to Missing Patches- VAF-DC-OPSPRB, VAF-DC-SFTP-02, VAF-DC-SQL-01, VAF-DC-TS-01, VAF-DC-TSVDI-GI.",Routine: Patch management / Windows Update,2.25,1.5,2.25,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.25h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-03-15,"Device Non-Compliant Due to Missing Patches-  ORX-DC-3CX-01, ORX-DC-AD-03, ORX-DC-AD-04, ORX-DC-APP-01, ORX-DC-APP-04, ORX-DC-FS-01.",Routine: Patch management / Windows Update,2.25,1.5,2.25,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.25h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
VG,2026-03-17,Update 3cx version 20 to the latest release update.,Routine: Phone / Voice / Teams,2.25,1.5,2.25,H1,routine > 1.5h cap (Phone / Voice / Teams),Your 2.25h is above the 1.5h normal cap for this category — title needs more detail.,"platform (RingCentral / Teams / 3CX), action (extension move, DID provision, license)","RingCentral extension move for new hire, voicemail verified","RingCentral migration for 3 users — re-provisioned extensions, ported DIDs, configured call queue, end-user training session (~3h)"
ORX,2026-03-29,"Device Non-Compliant Due to Missing Patches-  ORX-DC-3CX-01, ORX-DC-AD-03, ORX-DC-AD-04, ORX-DC-APP-01.",Routine: Patch management / Windows Update,2.25,1.5,2.25,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.25h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-03-30,"Device Non-Compliant Due to Missing Patches-  ORX-DC-SFTP-01, ORX-DC-SQL-01, ORX-DC-SQL-02, ORX-DC-SQL-03, ORX-DC-TS-03.",Routine: Patch management / Windows Update,2.25,1.5,5.5,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.25h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-04-05,"Device Non-Compliant Due to Missing Patches-  ORX-DC-AD-03, ORX-DC-AD-04, ORX-DC-FS-01, ORX-DC-IIS2, ORX-DC-OPSPRB.",Routine: Patch management / Windows Update,2.25,1.5,2.25,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.25h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
KSS,2026-02-22,"Device Non-Compliant Due to Missing Patches- KABFDBACK, KABFDRIGHT, KABRESRIGHT, KSS-HQ-VBR-01, VMKABDC1.",Routine: Patch management / Windows Update,2.23,1.5,2.23,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.23h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ANI,2026-03-09,"Device Non-Compliant Due to Missing Patches- VMANIDC02, VMANIFS-02, VMANIPHOTO1.",Routine: Patch management / Windows Update,2.0,1.5,2.0,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.00h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
MAX,2026-03-16,"Device Non-Compliant Due to Missing Patches-  AKT-DC-FS-01, MAX-DC-AD-01, MAX-DC-VDI-001, MAX-DC-VDI-002, MAX-DC-VDI-GI.",Routine: Patch management / Windows Update,2.0,1.5,2.0,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.00h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ANI,2026-03-29,"Device Non-Compliant Due to Missing Patches-  ANI-HQ-SQL-01, ANI-HQ-VBR-02, ANI-HQ-VONE, VMANIDC02, VMANIFS-01.",Routine: Patch management / Windows Update,2.0,1.5,2.0,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.00h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
KSS,2026-03-29,"Device Non-Compliant Due to Missing Patches-  KABDT003, KABDT004, KABDT005, KABFDBACK, KABFDLEFT.",Routine: Patch management / Windows Update,2.0,1.5,4.5,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.00h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-03-30,"Device Non-Compliant Due to Missing Patches-  ORX-DC-3CX-01, ORX-DC-AD-03, ORX-DC-AD-04, ORX-DC-APP-01, ORX-DC-FS-01.",Routine: Patch management / Windows Update,2.0,1.5,5.5,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.00h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
B2I,2026-03-31,Update 3cx version 20 to the latest release update.,Routine: Phone / Voice / Teams,2.0,1.5,4.0,H1;H5,routine > 1.5h cap (Phone / Voice / Teams) | 2 entries same ticket/day totalling 4.00h,Your 2.00h is above the 1.5h normal cap for this category — title needs more detail.,"platform (RingCentral / Teams / 3CX), action (extension move, DID provision, license)","RingCentral extension move for new hire, voicemail verified","RingCentral migration for 3 users — re-provisioned extensions, ported DIDs, configured call queue, end-user training session (~3h)"
B2I,2026-03-31,Update 3cx version 20 to the latest release update.,Routine: Phone / Voice / Teams,2.0,1.5,4.0,H1;H5,routine > 1.5h cap (Phone / Voice / Teams) | 2 entries same ticket/day totalling 4.00h,Your 2.00h is above the 1.5h normal cap for this category — title needs more detail.,"platform (RingCentral / Teams / 3CX), action (extension move, DID provision, license)","RingCentral extension move for new hire, voicemail verified","RingCentral migration for 3 users — re-provisioned extensions, ported DIDs, configured call queue, end-user training session (~3h)"
BWH,2026-04-11,"Device Non-Compliant Due to Missing Patches-  BWH-HQ-RDP-01, BWH-HQ-SQL-01, BWH-HQ-VBR-01, BWH-HQ-VONE, DC03.",Routine: Patch management / Windows Update,2.0,1.5,2.0,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.00h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ANI,2026-04-13,"Device Non-Compliant Due to Missing Patches-  VMANIDC02, VMANIFS-01, VMANIFS-02, VMANIFS1.",Routine: Patch management / Windows Update,2.0,1.5,2.0,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.00h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
KSS,2026-03-15,"Device Non-Compliant Due to Missing Patches-  KABDT005, KABFDBACK, KABFDLEFT, KABFDRIGHT.",Routine: Patch management / Windows Update,1.75,1.5,1.75,H1,routine > 1.5h cap (Patch management / Windows Update),Your 1.75h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
VAF,2026-03-18,"Device Non-Compliant Due to Missing Patches-  VAF-DC-FS-01, VAF-DC-FS-02, VAF-DC-SFTP-02.",Routine: Patch management / Windows Update,1.75,1.5,1.75,H1,routine > 1.5h cap (Patch management / Windows Update),Your 1.75h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
VAF,2026-03-19,"Device Non-Compliant Due to Missing Patches-  VAF-DC-3CX-01, VAF-DC-AD-01, VAF-DC-OPSPRB, VAF-DC-TSVDI-GI.",Routine: Patch management / Windows Update,1.75,1.5,1.75,H1,routine > 1.5h cap (Patch management / Windows Update),Your 1.75h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ANI,2026-03-22,"Device Non-Compliant Due to Missing Patches-  ANI-HQ-VBR-02, VMANIFS-01, VMANIFS-02, VMANI-GSS1.",Routine: Patch management / Windows Update,1.75,1.5,1.75,H1,routine > 1.5h cap (Patch management / Windows Update),Your 1.75h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ISI,2026-03-30,"Device Non-Compliant Due to Missing Patches- ISI-HQ-AD-01, ISI-HQ-APP-01, ISI-HQ-DB-01.",Routine: Patch management / Windows Update,1.75,1.5,1.75,H1,routine > 1.5h cap (Patch management / Windows Update),Your 1.75h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ANI,2026-04-05,"Device Non-Compliant Due to Missing Patches-  ANI-HQ-VBR-02, ANI-HQ-VONE, VMANIDC02, VMANIFS-01.",Routine: Patch management / Windows Update,1.75,1.5,1.75,H1,routine > 1.5h cap (Patch management / Windows Update),Your 1.75h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
KSS,2026-04-06,"Device Non-Compliant Due to Missing Patches-  KABDT005, KABFDBACK, KSS-HQ-VBR-01, VMKABDC1.",Routine: Patch management / Windows Update,1.75,1.5,1.75,H1,routine > 1.5h cap (Patch management / Windows Update),Your 1.75h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-04-12,"Device Non-Compliant Due to Missing Patches-  ORX-DC-3CX-01, ORX-DC-AD-03, ORX-DC-APP-01, ORX-DC-FS-01, ORX-DC-IIS2.",Routine: Patch management / Windows Update,1.75,1.5,1.75,H1,routine > 1.5h cap (Patch management / Windows Update),Your 1.75h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
KSS,2026-04-13,"Device Non-Compliant Due to Missing Patches-  KABDT005, KABFDBACK, KABFDLEFT, KABFDRIGHT, KABRESLEFT.",Routine: Patch management / Windows Update,1.75,1.5,1.75,H1,routine > 1.5h cap (Patch management / Windows Update),Your 1.75h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-04-09,Myremote version upgrade to Latest Version - 26.1.25.9592.,Routine: ScreenConnect / MyRemote updates,1.5,1.0,2.5,H1,routine > 1.0h cap (ScreenConnect / MyRemote updates),Your 1.50h is above the 1.0h normal cap for this category — title needs more detail.,machine count and any failed deployments,"ScreenConnect 24.5 push — 14 endpoints, all current",ScreenConnect 24.5 push — 22 endpoints; 4 required service-stop and manual reinstall after upgrade hang; verified version on dashboard (~2h)
KSS,2026-03-26,Myremote version upgrade to Latest Version - 26.1.22.9573.,Routine: ScreenConnect / MyRemote updates,1.25,1.0,2.75,H1,routine > 1.0h cap (ScreenConnect / MyRemote updates),Your 1.25h is above the 1.0h normal cap for this category — title needs more detail.,machine count and any failed deployments,"ScreenConnect 24.5 push — 14 endpoints, all current",ScreenConnect 24.5 push — 22 endpoints; 4 required service-stop and manual reinstall after upgrade hang; verified version on dashboard (~2h)
VAF,2026-03-26,Myremote version upgrade to Latest Version - 26.1.22.9573.,Routine: ScreenConnect / MyRemote updates,1.25,1.0,1.25,H1,routine > 1.0h cap (ScreenConnect / MyRemote updates),Your 1.25h is above the 1.0h normal cap for this category — title needs more detail.,machine count and any failed deployments,"ScreenConnect 24.5 push — 14 endpoints, all current",ScreenConnect 24.5 push — 22 endpoints; 4 required service-stop and manual reinstall after upgrade hang; verified version on dashboard (~2h)
KSS,2026-03-29,Servers went offline.,Routine: Monitoring alert — device down / offline,1.0,0.75,4.5,H1,routine > 0.75h cap (Monitoring alert — device down / offline),Your 1.00h is above the 0.8h normal cap for this category — title needs more detail.,"what diagnosis was performed (ping, console, UPS, WAN check) and resolution","Device down alert on RA01 — verified ping, agent reconnected after reboot","RA01 down — pinged offline 20 min, attempted IPMI console (no response), drove user through power-cycle, agent reconnected, ran Veeam re-test (~1.5h)"
